title,price,link,parsed_at
"iPhone 13, 128 ГБ",21 000 ₽,https://www.avito.ru/rostov-na-donu/telefony/iphone_13_128_gb_sim_esim_8003657379?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",19 990 ₽,https://www.avito.ru/rostov-na-donu/telefony/iphone_13_128_gb_sim_esim_8003269461?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",14 990 ₽,https://www.avito.ru/stavropol/telefony/iphone_13_128_gb_sim_esim_7770619247?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",22 990 ₽,https://www.avito.ru/sevastopol/telefony/iphone_13_128_gb_sim_esim_3816947635?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",20 000 ₽,https://www.avito.ru/obninsk/telefony/iphone_13_128_gb_sim_esim_8031349687?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 256 ГБ",20 990 ₽,https://www.avito.ru/sankt-peterburg/telefony/iphone_13_256_gb_sim_esim_8003433106?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",19 990 ₽,https://www.avito.ru/rostov-na-donu/telefony/iphone_13_128_gb_sim_esim_8003835174?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",24 990 ₽,https://www.avito.ru/krasnodar/telefony/iphone_13_128_gb_sim_esim_7904821327?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",18 890 ₽,https://www.avito.ru/nizhniy_novgorod/telefony/iphone_13_128_gb_7664936487?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",22 990 ₽,https://www.avito.ru/surgut/telefony/iphone_13_128_gb_8013500185?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",14 490 ₽,https://www.avito.ru/stavropol/telefony/iphone_13_128_gb_sim_esim_7953940333?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",24 990 ₽,https://www.avito.ru/novocherkassk/telefony/iphone_13_128_gb_sim_esim_7950875739?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",24 990 ₽,https://www.avito.ru/omsk/telefony/iphone_13_128_gb_7857129027?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",16 200 ₽,https://www.avito.ru/omsk/telefony/iphone_13_128_gb_sim_esim_7866687277?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
